0	1084	1139	1076	968	1175	1343	1255	1340	1464	1375	1417	1669	1745	1789	2034	2125	1978	1959	1962	1804	1764	1984	2087	2026	2044	2048	1912	1865	2090
1	171	194	252	250	230	235	238	236	236	238	242	245	245	243	237	227	212	193	194	205	190	208	204	209	227	212	261	209	309
4	51	13	53	41	46	96	41	136	86	136	165	134	152	151	166	115	165	118	121	129	151	118	128	137	115	128	141	130	111
5	41	31	60	62	111	162	218	159	140	186	177	162	171	176	173	173	174	173	171	169	167	163	159	156	154	155	156	158	161
6	19	25	27	25	27	33	37	39	41	47	53	56	60	67	73	78	84	92	97	101	108	113	114	117	122	123	126	132	132
10	16	18	42	23	34	19	28	34	49	24	29	32	36	36	43	33	31	38	42	40	42	47	47	43	49	58	58	53	57
11	43	34	39	53	55	72	85	96	85	65	62	64	70	79	83	81	68	64	70	76	75	73	73	70	67	71	75	72	65
13	24	42	30	30	47	59	39	59	78	61	61	74	74	49	61	80	53	44	72	77	37	60	90	56	46	82	81	44	63
15	41	36	52	48	62	60	71	73	76	73	67	58	43	49	34	46	25	43	20	44	19	39	25	26	40	15	44	36	9
18	17	11	16	13	19	16	20	18	21	20	23	22	24	24	26	26	28	28	29	28	29	29	29	30	31	32	33	35	37
19	0	11	17	5	3	13	16	12	13	16	18	21	22	25	31	37	45	52	56	55	48	45	49	58	68	67	50	38	51
21	20	0	42	39	22	6	23	50	19	19	10	45	29	21	17	30	32	22	26	24	30	28	27	30	29	32	33	32	35
22	57	51	38	37	47	53	32	52	68	53	26	48	81	44	23	56	89	37	19	59	84	29	28	62	74	27	29	62	61
24	25	26	38	48	53	48	38	49	50	42	39	49	46	41	44	48	45	46	50	50	51	54	55	57	59	60	62	62	62
25	16	10	14	10	21	13	24	10	24	9	32	4	36	1	45	2	50	5	54	10	55	15	56	19	57	25	59	31	58
38	37	32	29	30	28	30	29	31	35	33	31	29	27	30	31	32	33	29	27	26	28	32	32	30	26	22	24	29	34
39	27	42	26	28	42	63	47	22	38	41	34	53	62	34	26	41	51	42	49	54	31	30	48	51	45	46	46	34	36
43	20	8	5	50	53	4	0	18	61	36	0	0	28	51	18	0	5	24	42	7	0	3	19	35	11	0	0	17	31
45	12	29	32	25	7	8	19	33	33	22	8	15	25	35	33	22	14	23	32	36	32	24	22	27	34	35	31	26	25
47	42	6	14	22	13	41	7	26	15	18	28	19	22	17	23	21	25	22	25	22	26	25	28	27	28	28	29	30	31
50	11	8	10	15	16	9	4	8	23	18	5	1	15	31	9	3	14	31	10	6	18	29	9	11	24	22	10	18	27
52	16	22	24	27	23	27	24	31	23	31	25	33	24	32	29	36	27	35	38	42	34	38	46	48	42	37	40	46	47
57	34	11	19	8	18	49	18	18	12	16	25	27	17	7	20	26	26	6	0	25	24	16	4	0	24	18	12	6	0
73	5	6	6	6	6	7	8	9	10	11	13	15	16	19	22	26	30	32	33	34	33	32	33	36	36	37	38	38	38
75	15	16	38	47	45	40	34	33	36	35	30	28	32	33	27	24	29	30	26	20	26	27	27	15	21	24	28	13	14
76	14	20	8	11	20	6	6	16	10	2	10	11	5	2	9	9	3	4	8	6	3	8	7	5	8	9	6	9	9
77	19	10	11	23	30	17	10	8	16	26	21	15	5	4	14	20	25	14	3	0	8	19	25	18	2	0	7	16	28
82	29	8	23	24	23	25	23	26	21	31	8	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84	9	11	11	11	10	10	8	7	6	5	5	5	6	7	8	9	10	11	12	14	15	16	17	18	20	20	22	23	23
87	11	10	19	18	11	7	20	19	11	2	25	20	10	0	31	16	7	6	30	16	5	12	27	14	3	18	21	11	4
88	21	13	13	15	18	18	11	8	4	5	6	11	14	16	13	8	4	4	6	10	15	15	12	8	5	5	7	13	16
89	8	12	16	21	24	23	21	20	23	24	23	22	21	22	23	23	22	20	19	19	19	19	18	18	18	18	19	20	20
104	19	8	4	14	18	15	11	14	16	16	15	17	17	14	13	16	16	14	15	16	14	12	14	15	11	12	15	10	7
105	28	31	33	29	32	32	31	32	31	30	31	30	30	29	29	29	28	28	27	27	26	26	25	24	23	23	22	21	21
107	18	17	25	26	27	18	24	25	27	16	23	24	28	13	23	18	33	9	22	15	34	11	18	17	32	13	18	18	29
109	11	12	13	11	11	17	11	14	15	14	12	12	15	10	11	11	11	9	9	10	8	8	8	8	8	8	8	8	8
121	6	8	8	11	11	8	8	8	8	10	9	9	9	8	9	9	10	10	10	14	12	16	17	13	21	17	11	26	15
122	8	2	1	6	5	4	4	9	6	5	9	9	7	7	11	8	7	9	11	8	8	11	11	9	11	15	14	15	21
125	13	5	15	7	11	6	17	4	26	0	20	0	22	0	19	3	21	2	17	7	19	11	17	18	21	25	28	32	34
129	1	10	39	21	3	13	38	19	6	19	35	16	11	26	30	13	17	31	25	14	22	32	23	15	25	30	25	17	26
136	15	18	19	18	18	19	18	17	18	17	17	17	16	16	15	16	12	19	6	31	3	34	12	25	14	27	17	27	21
138	17	1	22	0	28	0	37	8	28	13	35	30	17	35	34	15	39	34	13	44	33	13	46	34	13	41	36	14	31
139	12	9	7	6	5	4	3	2	2	1	1	0	0	0	0	0	0	0	0	0	1	1	2	3	4	6	6	6	6
150	2	7	0	5	5	0	6	1	1	4	0	8	0	3	7	0	12	0	4	10	0	14	0	1	13	0	11	5	0
153	18	17	10	13	11	1	11	14	17	17	13	15	2	9	11	11	22	15	17	12	7	13	8	18	17	18	23	10	18
156	7	6	9	9	12	12	13	15	18	25	30	19	28	32	16	29	32	20	29	25	29	25	31	24	33	23	33	25	34
158	9	0	5	35	19	7	0	9	20	34	0	0	0	28	8	9	0	5	6	23	0	0	0	12	0	12	0	5	0
163	9	8	8	7	10	11	12	12	11	11	11	13	14	15	15	13	13	13	15	17	17	15	13	12	14	16	17	15	12
167	14	17	11	6	6	18	15	7	6	15	16	5	10	14	9	11	12	10	11	12	11	11	11	12	12	12	12	12	12
170	8	3	0	0	1	2	0	1	1	3	0	1	0	3	0	4	1	4	0	4	0	5	0	5	0	4	0	4	1
181	10	12	10	15	10	15	11	15	14	13	16	11	16	12	15	14	13	14	11	15	11	15	12	12	12	10	15	11	16
196	7	6	7	7	3	6	8	8	3	8	6	6	5	6	9	3	10	5	5	9	6	11	2	13	7	5	13	6	11
216	13	11	10	14	21	16	13	13	13	16	16	14	14	14	14	14	13	13	13	13	12	12	12	11	11	10	10	9	8
223	1	2	3	2	2	3	3	3	3	4	5	5	6	7	8	9	10	11	12	13	15	18	21	23	24	23	23	24	24
235	5	0	21	0	6	9	0	4	15	0	7	5	0	8	7	0	8	0	0	7	0	0	4	0	3	2	0	2	1
237	11	14	12	14	12	13	13	12	13	13	12	12	12	11	11	11	10	11	11	10	10	10	10	10	10	11	11	12	13
238	9	8	16	8	18	10	7	16	5	18	9	7	17	1	18	6	7	15	0	18	0	7	11	2	13	0	5	9	2
263	9	4	6	2	6	8	8	9	2	6	5	12	12	6	7	1	14	12	14	9	3	12	10	19	10	6	10	9	18
274	16	1	0	2	4	0	5	2	10	0	2	0	1	0	5	2	0	1	4	0	1	0	2	1	0	1	2	0	1
276	10	12	8	9	10	10	11	11	11	11	11	11	10	6	4	7	3	10	5	8	5	11	13	20	10	15	22	8	13
278	2	1	2	6	6	3	4	4	5	8	6	5	7	5	8	7	5	9	6	9	10	7	14	7	16	11	13	17	8
290	3	1	3	2	3	2	2	2	2	2	2	2	3	3	3	3	3	4	4	4	5	6	7	9	10	11	13	13	12
296	11	15	12	7	14	19	6	10	15	10	8	12	15	5	8	13	9	7	8	12	6	4	7	9	4	3	5	6	2
307	8	6	4	3	6	7	7	6	4	4	5	6	7	6	5	4	4	5	6	6	6	6	5	5	6	6	7	7	7
330	8	8	7	8	8	7	7	7	7	7	7	7	8	8	8	9	9	10	11	12	13	14	15	14	14	14	15	16	16
333	7	6	9	4	3	2	3	5	6	6	4	4	4	4	4	4	4	4	4	5	3	5	3	6	3	7	2	8	0
338	8	5	6	12	8	5	5	10	4	5	2	9	0	8	0	12	0	10	0	12	0	11	0	11	0	10	0	9	0
341	3	8	0	6	8	0	7	5	0	7	3	0	6	2	1	4	2	2	3	2	2	2	2	2	2	2	3	3	3
